,popular_categories,year_from,size
0,"ICs, Smart Cards and Smart Card-Related Devices and Systems",1997,0
1,"ICs, Smart Cards and Smart Card-Related Devices and Systems",1998,0
2,"ICs, Smart Cards and Smart Card-Related Devices and Systems",1999,5
3,"ICs, Smart Cards and Smart Card-Related Devices and Systems",2000,11
4,"ICs, Smart Cards and Smart Card-Related Devices and Systems",2001,15
5,"ICs, Smart Cards and Smart Card-Related Devices and Systems",2002,20
6,"ICs, Smart Cards and Smart Card-Related Devices and Systems",2003,12
7,"ICs, Smart Cards and Smart Card-Related Devices and Systems",2004,22
8,"ICs, Smart Cards and Smart Card-Related Devices and Systems",2005,30
9,"ICs, Smart Cards and Smart Card-Related Devices and Systems",2006,35
10,"ICs, Smart Cards and Smart Card-Related Devices and Systems",2007,51
11,"ICs, Smart Cards and Smart Card-Related Devices and Systems",2008,72
12,"ICs, Smart Cards and Smart Card-Related Devices and Systems",2009,74
13,"ICs, Smart Cards and Smart Card-Related Devices and Systems",2010,91
14,"ICs, Smart Cards and Smart Card-Related Devices and Systems",2011,89
15,"ICs, Smart Cards and Smart Card-Related Devices and Systems",2012,87
16,"ICs, Smart Cards and Smart Card-Related Devices and Systems",2013,115
17,"ICs, Smart Cards and Smart Card-Related Devices and Systems",2014,95
18,"ICs, Smart Cards and Smart Card-Related Devices and Systems",2015,85
19,"ICs, Smart Cards and Smart Card-Related Devices and Systems",2016,113
20,"ICs, Smart Cards and Smart Card-Related Devices and Systems",2017,102
21,"ICs, Smart Cards and Smart Card-Related Devices and Systems",2018,101
22,"ICs, Smart Cards and Smart Card-Related Devices and Systems",2019,90
23,"ICs, Smart Cards and Smart Card-Related Devices and Systems",2020,128
24,"ICs, Smart Cards and Smart Card-Related Devices and Systems",2021,121
25,"ICs, Smart Cards and Smart Card-Related Devices and Systems",2022,120
26,"ICs, Smart Cards and Smart Card-Related Devices and Systems",2023,110
27,Multi-Function Devices,1997,0
28,Multi-Function Devices,1998,0
29,Multi-Function Devices,1999,0
30,Multi-Function Devices,2000,0
31,Multi-Function Devices,2001,0
32,Multi-Function Devices,2002,0
33,Multi-Function Devices,2003,1
34,Multi-Function Devices,2004,7
35,Multi-Function Devices,2005,5
36,Multi-Function Devices,2006,22
37,Multi-Function Devices,2007,19
38,Multi-Function Devices,2008,19
39,Multi-Function Devices,2009,16
40,Multi-Function Devices,2010,23
41,Multi-Function Devices,2011,22
42,Multi-Function Devices,2012,30
43,Multi-Function Devices,2013,21
44,Multi-Function Devices,2014,35
45,Multi-Function Devices,2015,26
46,Multi-Function Devices,2016,46
47,Multi-Function Devices,2017,48
48,Multi-Function Devices,2018,37
49,Multi-Function Devices,2019,44
50,Multi-Function Devices,2020,47
51,Multi-Function Devices,2021,55
52,Multi-Function Devices,2022,47
53,Multi-Function Devices,2023,46
54,Network and Network-Related Devices and Systems,1997,0
55,Network and Network-Related Devices and Systems,1998,0
56,Network and Network-Related Devices and Systems,1999,0
57,Network and Network-Related Devices and Systems,2000,1
58,Network and Network-Related Devices and Systems,2001,1
59,Network and Network-Related Devices and Systems,2002,4
60,Network and Network-Related Devices and Systems,2003,3
61,Network and Network-Related Devices and Systems,2004,11
62,Network and Network-Related Devices and Systems,2005,14
63,Network and Network-Related Devices and Systems,2006,12
64,Network and Network-Related Devices and Systems,2007,21
65,Network and Network-Related Devices and Systems,2008,19
66,Network and Network-Related Devices and Systems,2009,21
67,Network and Network-Related Devices and Systems,2010,14
68,Network and Network-Related Devices and Systems,2011,33
69,Network and Network-Related Devices and Systems,2012,36
70,Network and Network-Related Devices and Systems,2013,31
71,Network and Network-Related Devices and Systems,2014,49
72,Network and Network-Related Devices and Systems,2015,66
73,Network and Network-Related Devices and Systems,2016,60
74,Network and Network-Related Devices and Systems,2017,59
75,Network and Network-Related Devices and Systems,2018,44
76,Network and Network-Related Devices and Systems,2019,47
77,Network and Network-Related Devices and Systems,2020,57
78,Network and Network-Related Devices and Systems,2021,65
79,Network and Network-Related Devices and Systems,2022,53
80,Network and Network-Related Devices and Systems,2023,51
81,One of 11 other categories,1997,1
82,One of 11 other categories,1998,2
83,One of 11 other categories,1999,7
84,One of 11 other categories,2000,10
85,One of 11 other categories,2001,6
86,One of 11 other categories,2002,22
87,One of 11 other categories,2003,37
88,One of 11 other categories,2004,48
89,One of 11 other categories,2005,65
90,One of 11 other categories,2006,60
91,One of 11 other categories,2007,78
92,One of 11 other categories,2008,88
93,One of 11 other categories,2009,81
94,One of 11 other categories,2010,53
95,One of 11 other categories,2011,74
96,One of 11 other categories,2012,94
97,One of 11 other categories,2013,51
98,One of 11 other categories,2014,48
99,One of 11 other categories,2015,64
100,One of 11 other categories,2016,56
101,One of 11 other categories,2017,73
102,One of 11 other categories,2018,59
103,One of 11 other categories,2019,83
104,One of 11 other categories,2020,61
105,One of 11 other categories,2021,61
106,One of 11 other categories,2022,74
107,One of 11 other categories,2023,56
108,Other Devices and Systems,1997,0
109,Other Devices and Systems,1998,0
110,Other Devices and Systems,1999,0
111,Other Devices and Systems,2000,0
112,Other Devices and Systems,2001,5
113,Other Devices and Systems,2002,4
114,Other Devices and Systems,2003,10
115,Other Devices and Systems,2004,13
116,Other Devices and Systems,2005,40
117,Other Devices and Systems,2006,42
118,Other Devices and Systems,2007,56
119,Other Devices and Systems,2008,23
120,Other Devices and Systems,2009,32
121,Other Devices and Systems,2010,40
122,Other Devices and Systems,2011,47
123,Other Devices and Systems,2012,57
124,Other Devices and Systems,2013,29
125,Other Devices and Systems,2014,30
126,Other Devices and Systems,2015,42
127,Other Devices and Systems,2016,51
128,Other Devices and Systems,2017,48
129,Other Devices and Systems,2018,57
130,Other Devices and Systems,2019,62
131,Other Devices and Systems,2020,63
132,Other Devices and Systems,2021,82
133,Other Devices and Systems,2022,64
134,Other Devices and Systems,2023,62
