dgst,canonical_reference_keyword,source,label,comment
00a2b91e5b58cef1,ANSSI-CC-2014/23,None,None,None
00ad121fa63e5dfb,BSI-DSZ-CC-0973-V2-2016,None,None,None
00ad121fa63e5dfb,BSI-DSZ-CC-0996-2018,None,None,None
00b539d629e60965,CCEVS-VR-02-0025,None,None,None
00eb3e5c7a4537b1,BSI-DSZ-CC-0322-2005,None,None,None
00eb3e5c7a4537b1,BSI-DSZ-CC-0399-2007,None,None,None
00efeb17bcaafce6,ANSSI-CC-2009/34,report,component_used,None
017f3cea8275a3e1,ANSSI-CC-2017/23,None,None,None
01ce6f422bec823d,BSI-DSZ-CC-1040-2019,None,None,None
01dc77d7f8f94d97,ANSSI-CC-2016/78,None,None,None
01dc77d7f8f94d97,ANSSI-CC-2017/39,None,None,None
01e5c6d31f763f56,BSI-DSZ-CC-0917-2014,None,None,None
01e8805514b4ef67,BSI-DSZ-CC-0891-V3-2018,report,component_used,None
0208e6b60a0b1a32,ANSSI-CC-2016/01,None,None,None
02c6fbcd90dcf05a,BSI-DSZ-CC-1107-V3-2022,None,None,None
02cb3c385865ad2c,BSI-DSZ-CC-1184-2022,None,None,None
0319b03323f257d1,BSI-DSZ-CC-1118-2020,None,None,None
0319b03323f257d1,BSI-DSZ-CC-1121-2019,None,None,None
032faef0207b715f,BSI-DSZ-CC-0837-V2-2014,None,None,None
037577fc2019fcfa,ANSSI-CC-2021/49,report,previous_version,None
04c5a5a66fb7f89a,BSI-DSZ-CC-0827-V2-2014,None,None,None
04cb360502da6492,BSI-DSZ-CC-0344-2005,None,None,None
054bd8196e015197,ANSSI-CC-2011/07,None,None,None
055985699aee1e09,ANSSI-CC-2010/02,report,component_used,None
05726637bd47a762,BSI-DSZ-CC-0891-V3-2018,report,component_used,None
05d96aada7bb839c,BSI-DSZ-CC-0223-2003,None,None,None
06b24bc51eb69188,BSI-DSZ-CC-0813-2012,None,None,None
06e505abb8dad1b8,ANSSI-CC-2017/54,report,component_used,None
06e70fa70393d60f,ANSSI-CC-2017/07,None,None,None
06e70fa70393d60f,BSI-DSZ-CC-0891-V2-2016,None,None,None
075ddd00e07fa7ed,ANSSI-CC-2020/76,None,None,None
075ddd00e07fa7ed,BSI-DSZ-CC-1136-2021,None,None,None
07ce7e4844f62c5c,ANSSI-CC-2017/73,None,None,None
07ce7e4844f62c5c,BSI-DSZ-CC-1070-2018,None,None,None
080aa6966d757f05,ANSSI-CC-2010/02,None,None,None
080aa6966d757f05,ANSSI-CC-2010/05,None,None,None
08408cbc394e7421,ANSSI-CC-2017/59,None,None,None
08408cbc394e7421,BSI-DSZ-CC-0782-V4-2018,None,None,None
09220515a7edf3f9,BSI-DSZ-CC-1110-V2-2019,None,None,None
096b05114ee5e09f,ANSSI-CC-2008/45,None,None,None
096b05114ee5e09f,BSI-DSZ-CC-0410-2007,None,None,None
096b05114ee5e09f,BSI-DSZ-CC-0411-2007,None,None,None
096ccb6bcb3d2731,BSI-DSZ-CC-0564-2009,None,None,None
09b07fbbb24e1b04,BSI-DSZ-CC-0964-2015,None,None,None
09f539aedefa9756,ANSSI-CC-2008/05,None,None,None
09f539aedefa9756,ANSSI-CC-2009/11,None,None,None
09f539aedefa9756,ANSSI-CC-2009/41,None,None,None
0a6e50445a906052,BSI-DSZ-CC-0891-V2-2016,None,None,None
0a6e50445a906052,BSI-DSZ-CC-0945-2017,None,None,None
0aad0176e35b3749,BSI-DSZ-CC-0477-2007,None,None,None
0b3e1cdf3ef9413d,BSI-DSZ-CC-0837-V2-2014,report,component_used,None
0bd651fcbb86f2a9,ANSSI-CC-2020/74,None,None,None
0bd651fcbb86f2a9,BSI-DSZ-CC-1136-2021,None,None,None
0bf7a19b22163465,ANSSI-CC-2015/80,report,evaluation_reused,None
0bf7a19b22163465,ANSSI-CC-2016/44,report,evaluation_reused,unclear whether component used
0c9e215997d96f44,BSI-DSZ-CC-0555-2009,None,None,None
0cd406e7c5013b74,BSI-DSZ-CC-0304-2006,None,None,None
0d4a95a8b52b787b,BSI-DSZ-CC-0829-2012,None,None,None
0da9d81c9f563df5,BSI-DSZ-CC-0382-2007,None,None,None
0ee132dec087b772,ANSSI-CC-2011/07,None,None,None
0ef56cba2362e463,ANSSI-CC-2015/42,None,None,None
0f1b31ac93459d1f,BSI-DSZ-CC-0720-2011,None,None,None
0f3900cdcd0c7f3e,NSCIB-CC-66030-CR5,report,component_used,None
0f684159ad31f883,BSI-DSZ-CC-0555-2009,None,None,None
0fe0bb1054f49b7f,CCEVS-VR-04-0092,None,None,None
0ff82b1cc24b3105,BSI-DSZ-CC-0302-2005,None,None,None
10233188161519ee,ANSSI-CC-2019/48,None,None,None
10233188161519ee,ANSSI-CC-2020/26,None,None,None
10233188161519ee,BSI-DSZ-CC-1059-2018,None,None,None
10233188161519ee,BSI-DSZ-CC-1059-V3-2019,None,None,None
102707a8c4d8a1b0,ANSSI-CC-2019/35,None,None,None
102707a8c4d8a1b0,ANSSI-CC-2020/26,None,None,None
102707a8c4d8a1b0,BSI-DSZ-CC-1059-2018,None,None,None
102707a8c4d8a1b0,BSI-DSZ-CC-1059-V3-2019,None,None,None
102bbdfcd696d7a9,ANSSI-CC-2018/13,None,None,None
102bbdfcd696d7a9,ANSSI-CC-2019/01,None,None,None
107c348f4ba0a41c,BSI-DSZ-CC-1135-2020,None,None,None
109eb2158ca6a2f9,BSI-DSZ-CC-0410-2007,None,None,None
10af4a6378d0fb7a,ANSSI-CC-2014/07,None,None,None
10af4a6378d0fb7a,ANSSI-CC-2014/86,None,None,None
10af4a6378d0fb7a,BSI-DSZ-CC-0837-V2-2014,None,None,None
10b17081dd7cad8f,ANSSI-CC-2015/36,None,None,None
10b17081dd7cad8f,ANSSI-CC-2017/39,None,None,None
112fe9f123e277ee,ANSSI-CC-2010/02,None,None,None
112fe9f123e277ee,ANSSI-CC-2010/19,None,None,None
114e39b4da949e6d,ANSSI-CC-2020/08,None,None,None
114e39b4da949e6d,BSI-DSZ-CC-1110-V2-2019,None,None,None
1172a88e009dc248,CRP257,None,None,None
1172a88e009dc248,CRP281,None,None,None
1188aebd8681e4fe,BSI-DSZ-CC-0465-2008,None,None,None
122245dd15683e26,ANSSI-CC-2007/08,None,None,None
122245dd15683e26,BSI-DSZ-CC-0269-2006,None,None,None
123c94418ddf1ad8,BSI-DSZ-CC-0367-2006,None,None,None
12e20466a0f08342,ANSSI-CC-2016/79,report,evaluation_reused,unclear whether component used
131ec924c42ef90b,ANSSI-CC-2017/61,None,None,None
135ca3602f0005bf,NSCIB-CC-16-99111-CR2,None,None,None
13d95239226aa537,BSI-DSZ-CC-0835-V2-2017,report,component_shared,"BAC, EAC thingy"
13e5b88ad3becb77,BSI-DSZ-CC-0322-2005,None,None,None
13e5b88ad3becb77,BSI-DSZ-CC-0344-2005,None,None,None
1468948b4f0509ab,BSI-DSZ-CC-0813-2012,None,None,None
157b741a0f529a0a,ANSSI-CC-2009/37,None,None,None
157f811757a0b29e,BSI-DSZ-CC-0555-2009,None,None,None
157f811757a0b29e,BSI-DSZ-CC-0633-2010,None,None,None
157f811757a0b29e,BSI-DSZ-CC-0675-2011,None,None,None
157f811757a0b29e,BSI-DSZ-CC-0745-2012,None,None,None
158950ed4bc35274,ANSSI-CC-2015/36,None,None,None
158950ed4bc35274,ANSSI-CC-2015/80,None,None,None
158950ed4bc35274,ANSSI-CC-2016/33,None,None,None
16bdbde359584f99,ANSSI-CC-2017/61,report,component_used,None
17a23970b35a4f44,BSI-DSZ-CC-0782-V5-2020,report,component_used,None
19c60923e31777e7,ANSSI-CC-2017/49,report,component_used,None
1b8705a0486b3be1,NSCIB-CC-0209053-CR,report,previous_version,None
1e40bd733acd56bc,BSI-DSZ-CC-0782-V4-2018,target,component_used,None
