dgst,canonical_reference_keyword,label,comment
e676143c80802a59,BSI-DSZ-CC-0891-V4-2019,component_used,the previously certified M7892 G12 component
0bf7a19b22163465,ANSSI-CC-2016/44,evaluation_reused,unclear whether component used
ab3af998dff7a2ef,ANSSI-CC-2017/47,component_used,None
8ba22f6c9651edc3,ANSSI-CC-2013/55,component_used,None
680aeb0a20a9fed3,BSI-DSZ-CC-0870-2014,component_used,None
3515801dee00995f,BSI-DSZ-CC-0447-2008,re-evaluation,This is a re-certification based on BSI-DSZ-CC-0447-2008
6a999675c9422dfb,BSI-DSZ-CC-0353-2006,re-evaluation,This is a re-certification based on BSI-DSZ-CC-0353-2006
12e20466a0f08342,ANSSI-CC-2016/79,evaluation_reused,unclear whether component used
d2a4b8cb9ae7fe8f,BSI-DSZ-CC-1110-V4-2021,component_used,complicated situation where referenced cert is mentioned as recertification of some other cert
921e042759b30033,BSI-DSZ-CC-0978-2016,component_used,composition scheme “[COMP]” mentioned
00efeb17bcaafce6,ANSSI-CC-2009/34,component_used,None
c175537338906951,ANSSI-CC-2016/70,component_used,None
fb9ec9e846ea4e87,ANSSI-CC-2017/47,component_used,None
ecba01acba8df2ec,BSI-DSZ-CC-0555-2009,component_used,None
f71fca5fc684df8b,BSI-DSZ-CC-0863-2013,re-evaluation,This is a re-certification based on BSI-DSZ-CC-0863-2013
cacdfdafce47678c,ANSSI-CC-2014/59,component_used,None
dba4b5a166f9456a,ANSSI-CC-2014/76,previous_version,None
aa096ffde94b953b,BSI-DSZ-CC-0411-2007,component_used,None
b42009eb34746731,ANSSI-CC-2021/50,evaluation_reused,maybe previous_version
463ecd64b7506048,ANSSI-CC-2018/52,component_used,None
c5a60dbdb668bc10,BSI-DSZ-CC-0891-2015,re-evaluation,None
c96343baf608174d,BSI-DSZ-CC-0645-2010,component_used,None
0b3e1cdf3ef9413d,BSI-DSZ-CC-0837-V2-2014,component_used,None
2c15dfc106ebf8d8,ANSSI-CC-2012/24,component_used,None
e0265f0fb8e196c0,BSI-DSZ-CC-0827-V8-2020,None,unclear
ee1c6dd97918d74a,ANSSI-CC-2012/71,evaluation_reused,None
e6e8add5e4db2d9d,BSI-DSZ-CC-0891-V4-2019,component_used,None
845bb039719ac5d8,ANSSI-CC-2010/40,previous_version,None
af61a31e3fd0d6f0,ANSSI-CC-2010/02,evaluation_reused,None
d49988efd778ca9d,ANSSI-CC-2010/02,component_used,None
54273dd266fce692,ANSSI-CC-2015/15,component_used,None
4bede5d2af4cb11f,ANSSI-CC-2019/59,evaluation_reused,None
d75282fdda80b6fd,BSI-DSZ-CC-0609-2010,re-evaluation,None
a69ec271f8651d1b,BSI-DSZ-CC-1040-2019,component_used,None
f6579adcbf5faa99,BSI-DSZ-CC-1040-2019,component_used,None
8bdb610131555c12,BSI-DSZ-CC-0645-2010,component_used,None
b3b7ac7aae87793d,BSI-DSZ-CC-0945-V2-2018,None,unclear
371dca18821f7714,BSI-DSZ-CC-0945-2017,component_used,None
