dgst,referenced_cert_id,location,label,comment
e676143c80802a59,BSI-DSZ-CC-0891-V4-2019,None,None,None
0bf7a19b22163465,ANSSI-CC-2016/44,None,None,None
ab3af998dff7a2ef,ANSSI-CC-2017/47,None,None,None
8ba22f6c9651edc3,ANSSI-CC-2013/55,None,None,None
680aeb0a20a9fed3,BSI-DSZ-CC-0870-2014,None,None,None
3515801dee00995f,BSI-DSZ-CC-0447-2008,None,None,None
6a999675c9422dfb,BSI-DSZ-CC-0353-2006,None,None,None
12e20466a0f08342,ANSSI-CC-2016/79,None,None,None
d2a4b8cb9ae7fe8f,BSI-DSZ-CC-1110-V4-2021,None,None,None
921e042759b30033,BSI-DSZ-CC-0978-2016,None,None,None
00efeb17bcaafce6,ANSSI-CC-2009/34,None,None,None
c175537338906951,ANSSI-CC-2016/70,None,None,None
fb9ec9e846ea4e87,ANSSI-CC-2017/47,None,None,None
ecba01acba8df2ec,BSI-DSZ-CC-0555-2009,None,None,None
f71fca5fc684df8b,BSI-DSZ-CC-0863-2013,None,None,None
cacdfdafce47678c,ANSSI-CC-2014/59,None,None,None
dba4b5a166f9456a,ANSSI-CC-2014/76,None,None,None
aa096ffde94b953b,BSI-DSZ-CC-0411-2007,None,None,None
b42009eb34746731,ANSSI-CC-2021/50,None,None,None
463ecd64b7506048,ANSSI-CC-2018/52,None,None,None
c5a60dbdb668bc10,BSI-DSZ-CC-0891-2015,None,None,None
c96343baf608174d,BSI-DSZ-CC-0645-2010,None,None,None
0b3e1cdf3ef9413d,BSI-DSZ-CC-0837-V2-2014,None,None,None
2c15dfc106ebf8d8,ANSSI-CC-2012/24,None,None,None
e0265f0fb8e196c0,BSI-DSZ-CC-0827-V8-2020,None,None,None
ee1c6dd97918d74a,ANSSI-CC-2012/71,None,None,None
e6e8add5e4db2d9d,BSI-DSZ-CC-0891-V4-2019,None,None,None
845bb039719ac5d8,ANSSI-CC-2010/40,None,None,None
af61a31e3fd0d6f0,ANSSI-CC-2010/02,None,None,None
d49988efd778ca9d,ANSSI-CC-2010/02,None,None,None
54273dd266fce692,ANSSI-CC-2015/15,None,None,None
4bede5d2af4cb11f,ANSSI-CC-2019/59,None,None,None
d75282fdda80b6fd,BSI-DSZ-CC-0609-2010,None,None,None
a69ec271f8651d1b,BSI-DSZ-CC-1040-2019,None,None,None
f6579adcbf5faa99,BSI-DSZ-CC-1040-2019,None,None,None
8bdb610131555c12,BSI-DSZ-CC-0645-2010,None,None,None
b3b7ac7aae87793d,BSI-DSZ-CC-0945-V2-2018,None,None,None
371dca18821f7714,BSI-DSZ-CC-0945-2017,None,None,None
f17fe9ceea628f62,BSI-DSZ-CC-0911-2014,None,None,None
e0b122da55f1f002,BSI-DSZ-CC-0961-V2-2018,None,None,None
4f5f41ecf7517e63,ANSSI-CC-2016/80,None,None,None
a867d281d34d34b7,BSI-DSZ-CC-0976-2015,None,None,None
16bdbde359584f99,ANSSI-CC-2017/61,None,None,None
34370b67b5e675c3,ANSSI-CC-2013/47,None,None,None
a6fe8fe0aaf2fa92,ANSSI-CC-2018/26,None,None,None
0bf7a19b22163465,ANSSI-CC-2015/80,None,None,None
1e40bd733acd56bc,BSI-DSZ-CC-0782-V4-2018,None,None,None
13d95239226aa537,BSI-DSZ-CC-0835-V2-2017,None,None,None
f869956d14ea1694,ANSSI-CC-2012/68,None,None,None
037577fc2019fcfa,ANSSI-CC-2021/49,None,None,None
17a23970b35a4f44,BSI-DSZ-CC-0782-V5-2020,None,None,None
5a66027d34aafc52,BSI-DSZ-CC-1019-V2-2019,None,None,None
1f9f4b843070fc1b,BSI-DSZ-CC-1105-2020,None,None,None
28e70f46ba4394dd,ANSSI-CC-2012/08,None,None,None
61832cb4291c343f,BSI-DSZ-CC-0955-2016,None,None,None
42799014c183e1b3,BSI-DSZ-CC-0312-2005,None,None,None
627bfd69c2a831cf,ANSSI-CC-2014/37,None,None,None
aea11fd4d2a7709d,BSI-DSZ-CC-0809-V3-2017,None,None,None
05726637bd47a762,BSI-DSZ-CC-0891-V3-2018,None,None,None
